fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.00035196940104166666,7.330813456885611,0.6014113929726929,5.836004734039307,23.242136530564988,B10_ours,ct,3,4,10.831579589843749,MR_fixed__CT_moving__0002_tcia,26.882683888077736,0.25169265270233154,0002_tcia,l2r_mrct,mr_target,0.997358873155382
mr,0.00015004475911458334,40.23075665959495,0.10728886491582296,5.848475456237793,74.87332904130245,B10_ours,ct,3,4,10.857484006881712,MR_fixed__CT_moving__0004_tcia,25.47237108834088,0.24199853837490082,0004_tcia,l2r_mrct,mr_target,0.9977773030598959
mr,0.0007147894965277777,6.532300589459474,0.6037538665889998,6.296447277069092,18.97886053572005,B10_ours,ct,4,4,11.572311496734619,MR_fixed__CT_moving__0006_tcia,25.42805219301954,0.27023547887802124,0006_tcia,l2r_mrct,mr_target,0.9994912041558159
mr,0.0013059828016493056,8.11782485717117,0.5829336797579792,5.854465961456299,21.81394649059674,B10_ours,ct,4,4,10.81168189048767,MR_fixed__CT_moving__0008_tcia,25.452348384074867,0.27487248182296753,0008_tcia,l2r_mrct,mr_target,0.9991449991861979
mr,0.0005632188585069444,15.435434456994242,0.3415128161425514,5.765961170196533,44.66155505954237,B10_ours,ct,4,4,11.202948808670044,MR_fixed__CT_moving__0010_tcia,25.48046304890886,0.2668297290802002,0010_tcia,l2r_mrct,mr_target,0.9993525187174479
mr,0.00054168701171875,18.476926683445036,0.19416143244406162,5.704493999481201,46.270809339216534,B10_ours,ct,4,4,11.238272142410278,MR_fixed__CT_moving__0012_tcia,25.41433236282319,0.3020792007446289,0012_tcia,l2r_mrct,mr_target,0.9987765842013889
mr,0.0006234063042534722,25.71585101970488,0.20238750360528926,6.443304538726807,67.9442619749321,B10_ours,ct,4,4,11.86985511779785,MR_fixed__CT_moving__0014_tcia,25.462749243713915,0.279842346906662,0014_tcia,l2r_mrct,mr_target,0.9996646457248264
mr,0.0009260389539930556,5.557758173220064,0.6715121026747107,6.976517677307129,21.954395429432466,B10_ours,ct,4,4,13.148479604721068,MR_fixed__CT_moving__0016_tcia,25.618499780073762,0.27033743262290955,0016_tcia,l2r_mrct,mr_target,0.9986085679796007
