fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.0,3.3373741083261153,0.8037873276969957,59.77891540527344,17.552598915418795,B07_locor,ct,3,4,112.1572422027588,MR_fixed__CT_moving__0002_tcia,78.35713907890022,0.38949882984161377,0002_tcia,l2r_mrct,mr_target,0.696793450249566
mr,0.0,48.713047205757,0.08786715403419236,51.847068786621094,85.45873837812809,B07_locor,ct,3,4,97.59955024719238,MR_fixed__CT_moving__0004_tcia,77.46243439195678,0.4852122962474823,0004_tcia,l2r_mrct,mr_target,0.7971542358398438
mr,0.0,12.75147435987251,0.3833826086674563,43.029998779296875,44.197454409798006,B07_locor,ct,4,4,60.8756196975708,MR_fixed__CT_moving__0006_tcia,77.72033512266353,1.1753300428390503,0006_tcia,l2r_mrct,mr_target,0.9776465521918403
mr,0.0,1.380304608257366,0.9170368547916572,30.557079315185547,4.668705749749546,B07_locor,ct,4,4,52.136916542053214,MR_fixed__CT_moving__0008_tcia,78.74449840188026,1.1233230829238892,0008_tcia,l2r_mrct,mr_target,0.9757663302951389
mr,0.0,1.6522270330805575,0.9017455213433769,43.02836227416992,7.3383095436647325,B07_locor,ct,4,4,70.3307762145996,MR_fixed__CT_moving__0010_tcia,77.05963206198066,0.860427737236023,0010_tcia,l2r_mrct,mr_target,0.8066658867730034
mr,0.0,2.4928106465261552,0.80562743693532,38.33723068237305,12.528069019579373,B07_locor,ct,4,4,62.83224067687987,MR_fixed__CT_moving__0012_tcia,75.34014957398176,0.4150671660900116,0012_tcia,l2r_mrct,mr_target,0.7182049221462674
mr,0.0,31.26149892624786,0.11721312320397335,27.020559310913086,81.87808850287689,B07_locor,ct,4,4,49.83396320343017,MR_fixed__CT_moving__0014_tcia,77.81925072800368,0.2896377146244049,0014_tcia,l2r_mrct,mr_target,0.9118601481119791
mr,0.0,1.709733536553057,0.9001549351833474,22.81541633605957,6.106395752988369,B07_locor,ct,4,4,41.87833099365234,MR_fixed__CT_moving__0016_tcia,77.5043098111637,0.28335651755332947,0016_tcia,l2r_mrct,mr_target,0.8750520494249132
