fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.0,8.727395913684914,0.5152345741129978,13.938820838928223,24.18036035647545,B09_m2m_reg,ct,3,4,38.54393272399901,MR_fixed__CT_moving__0002_tcia,16.164486846886575,0.5564435124397278,0002_tcia,l2r_mrct,mr_target,0.9026028103298611
mr,0.0,35.367017972836074,0.11066609812026608,13.774735450744629,75.35658361805822,B09_m2m_reg,ct,3,4,38.948650932312006,MR_fixed__CT_moving__0004_tcia,13.756889909040183,0.5024954676628113,0004_tcia,l2r_mrct,mr_target,0.9051830715603298
mr,0.0,8.20081898498081,0.4930252688458461,11.37696361541748,24.881842492599063,B09_m2m_reg,ct,4,4,26.874287986755366,MR_fixed__CT_moving__0006_tcia,14.227490684948862,0.459524929523468,0006_tcia,l2r_mrct,mr_target,0.9882261488172743
mr,0.00030907524956597224,10.215816726003869,0.45417050154641647,10.494489669799805,24.679892129577194,B09_m2m_reg,ct,4,4,21.15579442977905,MR_fixed__CT_moving__0008_tcia,13.787443784996867,0.5767646431922913,0008_tcia,l2r_mrct,mr_target,0.9750052558051215
mr,0.0,10.071443627701134,0.5011691417499639,16.96280860900879,32.04348965715877,B09_m2m_reg,ct,4,4,31.182824039459227,MR_fixed__CT_moving__0010_tcia,13.43881071684882,0.4845428764820099,0010_tcia,l2r_mrct,mr_target,0.9406277126736111
mr,0.0,16.515496958230255,0.2332941306109304,10.695451736450195,44.549983457933905,B09_m2m_reg,ct,4,4,24.40349597930908,MR_fixed__CT_moving__0012_tcia,13.55727318301797,0.588978111743927,0012_tcia,l2r_mrct,mr_target,0.9429974026150174
mr,0.0,21.69823566203363,0.23854013479183156,13.1707763671875,67.44584077132086,B09_m2m_reg,ct,4,4,37.74836864471435,MR_fixed__CT_moving__0014_tcia,14.00336841121316,0.45980143547058105,0014_tcia,l2r_mrct,mr_target,0.8913475884331598
mr,0.0,6.552406473651326,0.5907541216922265,13.556845664978027,21.29995515714536,B09_m2m_reg,ct,4,4,26.641385459899897,MR_fixed__CT_moving__0016_tcia,13.59375033993274,0.5583531260490417,0016_tcia,l2r_mrct,mr_target,0.9223424275716146
