fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.003276570638020833,7.111382235447629,0.5902883368851709,2.820347785949707,20.107008430889962,B05_masr_dns_io,ct,3,4,5.079652333259583,MR_fixed__CT_moving__0002_tcia,13.977439183276147,0.662593424320221,0002_tcia,l2r_mrct,mr_target,0.9742387559678819
mr,0.003564114040798611,39.38722916489425,0.10718042065249461,2.84765625,74.25289696341406,B05_masr_dns_io,ct,3,4,4.984314441680908,MR_fixed__CT_moving__0004_tcia,10.932504508644342,0.6805421113967896,0004_tcia,l2r_mrct,mr_target,0.9740200466579861
mr,0.003325229220920139,8.225431092842086,0.48049077479462343,2.664401054382324,24.574667481034766,B05_masr_dns_io,ct,4,4,4.877907299995423,MR_fixed__CT_moving__0006_tcia,10.827513492200524,0.5919978022575378,0006_tcia,l2r_mrct,mr_target,0.9827694363064237
mr,0.004338243272569445,7.980063330058162,0.5642960011198227,2.806584596633911,22.50964254835275,B05_masr_dns_io,ct,4,4,5.07511568069458,MR_fixed__CT_moving__0008_tcia,12.079042251221836,0.6059993505477905,0008_tcia,l2r_mrct,mr_target,0.9788316514756944
mr,0.002874077690972222,13.595067663999053,0.37812912552728284,2.78421950340271,38.931690760556464,B05_masr_dns_io,ct,4,4,5.108445644378662,MR_fixed__CT_moving__0010_tcia,10.986439771018922,0.6132007241249084,0010_tcia,l2r_mrct,mr_target,0.9786912706163194
mr,0.004147169325086806,16.166859812272666,0.23702204744721178,2.9102580547332764,44.76909851184629,B05_masr_dns_io,ct,4,4,5.106454396247864,MR_fixed__CT_moving__0012_tcia,11.829213588032871,0.6916198134422302,0012_tcia,l2r_mrct,mr_target,0.976582505967882
mr,0.005365668402777778,25.02679228039998,0.19379993397142703,2.9058096408843994,67.19739444227663,B05_masr_dns_io,ct,4,4,5.075943970680237,MR_fixed__CT_moving__0014_tcia,10.918843479361385,0.6445913910865784,0014_tcia,l2r_mrct,mr_target,0.9791241115993924
mr,0.004332139756944444,7.887580798045403,0.5217321076088597,3.00590443611145,22.269227167088747,B05_masr_dns_io,ct,4,4,5.291286468505859,MR_fixed__CT_moving__0016_tcia,11.060145074035972,0.6084060668945312,0016_tcia,l2r_mrct,mr_target,0.9801466200086806
