fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.020086669921875,3.624515166489012,0.815839931991381,13.546036720275879,19.612739548654798,B04_dino_reg,ct,3,4,33.811974716186505,MR_fixed__CT_moving__0002_tcia,383.4632270820439,0.8340637683868408,0002_tcia,l2r_mrct,mr_target,0.9867031521267361
mr,0.03891398111979167,17.596915269297885,0.4186449863905757,21.480361938476562,52.60736472885882,B04_dino_reg,ct,3,4,53.05151767730713,MR_fixed__CT_moving__0004_tcia,408.2502951901406,0.9917818307876587,0004_tcia,l2r_mrct,mr_target,0.985936991373698
mr,0.0873446994357639,3.6006199577057187,0.7606890783305039,20.602441787719727,14.910022041158365,B04_dino_reg,ct,4,4,39.82107753753661,MR_fixed__CT_moving__0006_tcia,483.8128991429694,1.3313801288604736,0006_tcia,l2r_mrct,mr_target,0.9989944458007812
mr,0.0422027587890625,1.8942482446608904,0.8882508785264475,19.55336570739746,6.621320343559642,B04_dino_reg,ct,4,4,38.65449657440185,MR_fixed__CT_moving__0008_tcia,498.0756372171454,1.010111927986145,0008_tcia,l2r_mrct,mr_target,0.9958630032009549
mr,0.02554779052734375,4.204760182214334,0.8190302675496612,18.776899337768555,24.726686462761744,B04_dino_reg,ct,4,4,41.62299365997315,MR_fixed__CT_moving__0010_tcia,460.2874094690196,0.8059874773025513,0010_tcia,l2r_mrct,mr_target,0.9444288465711805
mr,0.030146959092881946,2.84808081892953,0.8243317378692506,14.187345504760742,16.900973327475228,B04_dino_reg,ct,4,4,41.05250606536865,MR_fixed__CT_moving__0012_tcia,376.1382346493192,0.8754119873046875,0012_tcia,l2r_mrct,mr_target,0.940260484483507
mr,0.07849968804253472,8.006416678705358,0.7328618446058557,27.470008850097656,53.55218102176603,B04_dino_reg,ct,4,4,59.4488109588623,MR_fixed__CT_moving__0014_tcia,442.283182810992,1.1695127487182617,0014_tcia,l2r_mrct,mr_target,0.9937455919053819
mr,0.005976698133680555,1.8944421381309884,0.8805359859133136,11.197566986083984,6.2976207903086205,B04_dino_reg,ct,4,4,26.384091758728022,MR_fixed__CT_moving__0016_tcia,404.7659386387095,0.6352534890174866,0016_tcia,l2r_mrct,mr_target,0.9839199490017361
