fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.014636060926649305,4.622101419883982,0.7553081941214791,15.35668659210205,16.67390024768353,B02_convexadam_mind,ct,3,4,30.64095516204834,MR_fixed__CT_moving__0002_tcia,18.633155828807503,0.7988260388374329,0002_tcia,l2r_mrct,mr_target,0.9909462822808159
mr,0.011901685926649306,28.28013109653986,0.17707082593730125,18.481462478637695,58.8449850139455,B02_convexadam_mind,ct,3,4,36.42999973297118,MR_fixed__CT_moving__0004_tcia,15.937120673246682,0.8773581981658936,0004_tcia,l2r_mrct,mr_target,0.9900039672851563
mr,0.029526774088541666,4.998193877303269,0.7278859165331684,21.094606399536133,19.23992551661982,B02_convexadam_mind,ct,4,4,38.6599084854126,MR_fixed__CT_moving__0006_tcia,16.452506077010185,0.8685258626937866,0006_tcia,l2r_mrct,mr_target,0.9920883178710938
mr,0.022068617078993054,1.5633875930702104,0.9072376734092557,19.66118049621582,6.15238925775224,B02_convexadam_mind,ct,4,4,34.53097934722901,MR_fixed__CT_moving__0008_tcia,16.165696803014725,0.8009970784187317,0008_tcia,l2r_mrct,mr_target,0.9830518934461806
mr,0.017481486002604168,2.036905576418933,0.8892812829157943,18.78253936767578,11.487345747344081,B02_convexadam_mind,ct,4,4,37.44197101593018,MR_fixed__CT_moving__0010_tcia,15.40859541296959,0.7677879333496094,0010_tcia,l2r_mrct,mr_target,0.9869566175672743
mr,0.013434685601128472,2.539962666859194,0.8045799212416865,19.375879287719727,13.122790961454735,B02_convexadam_mind,ct,4,4,43.08682632446289,MR_fixed__CT_moving__0012_tcia,15.329153429716825,0.6391982436180115,0012_tcia,l2r_mrct,mr_target,0.9874754163953993
mr,0.014530775282118056,10.658582083295412,0.5861086640743289,17.573383331298828,41.11151427165143,B02_convexadam_mind,ct,4,4,40.56980590820312,MR_fixed__CT_moving__0014_tcia,16.652440572157502,0.7794574499130249,0014_tcia,l2r_mrct,mr_target,0.9883265177408854
mr,0.0010459052191840279,2.0238317080775503,0.883039158922399,12.710952758789062,7.067781457055728,B02_convexadam_mind,ct,4,4,25.972800159454344,MR_fixed__CT_moving__0016_tcia,15.869247370399535,0.44733527302742004,0016_tcia,l2r_mrct,mr_target,0.989459737141927
