fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.0,4.793086951689471,0.7349596348505457,5.506515026092529,14.808915942226335,B03_fireants,ct,3,4,12.393683862686157,MR_fixed__CT_moving__0002_tcia,17.230776108801365,0.1933622509241104,0002_tcia,l2r_mrct,mr_target,0.9802374945746528
mr,0.0,38.99790675614687,0.10534152168626855,3.6777007579803467,75.55126488398275,B03_fireants,ct,3,4,7.860526585578917,MR_fixed__CT_moving__0004_tcia,16.921200836077332,0.17653372883796692,0004_tcia,l2r_mrct,mr_target,0.9860812717013889
mr,0.0,8.563498984412876,0.4341405842806961,5.593800067901611,25.77366466689953,B03_fireants,ct,4,4,10.763553285598753,MR_fixed__CT_moving__0006_tcia,13.048229668289423,0.2508276402950287,0006_tcia,l2r_mrct,mr_target,0.9962353176540799
mr,0.0,5.257720685948378,0.7199334026656432,7.1009202003479,18.92988685890082,B03_fireants,ct,4,4,14.40879259109497,MR_fixed__CT_moving__0008_tcia,12.892064053565264,0.2594700753688812,0008_tcia,l2r_mrct,mr_target,0.9776087443033854
mr,0.0,9.47744139373195,0.5417333655942327,7.855121612548828,32.25417231910577,B03_fireants,ct,4,4,19.447054576873775,MR_fixed__CT_moving__0010_tcia,14.270197492092848,0.2412203848361969,0010_tcia,l2r_mrct,mr_target,0.987603759765625
mr,0.0,14.743841002040984,0.3051916399958647,7.255830764770508,40.45347830981981,B03_fireants,ct,4,4,14.969290876388548,MR_fixed__CT_moving__0012_tcia,14.304510775953531,0.23935243487358093,0012_tcia,l2r_mrct,mr_target,0.9695826212565104
mr,0.0,27.477863008036962,0.15969652549463725,5.955618858337402,69.68337683748851,B03_fireants,ct,4,4,13.256335401535033,MR_fixed__CT_moving__0014_tcia,13.289449241012335,0.2421117126941681,0014_tcia,l2r_mrct,mr_target,0.9857966105143229
mr,0.0,4.042063690726955,0.7752481266268265,6.848939418792725,15.740143691756735,B03_fireants,ct,4,4,15.32186131477356,MR_fixed__CT_moving__0016_tcia,14.002023542299867,0.23513004183769226,0016_tcia,l2r_mrct,mr_target,0.9790737575954861
