fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.0,3.103011079374317,0.8233789867131058,11.668440818786621,12.517853068624126,B01_ants_syn_mi,ct,3,4,24.56161699295044,MR_fixed__CT_moving__0002_tcia,603.8729426003993,0.43718743324279785,0002_tcia,l2r_mrct,mr_target,1.0
mr,0.0,34.71880278065163,0.1286438428260222,11.255638122558594,67.31575457672945,B01_ants_syn_mi,ct,3,4,25.665056705474854,MR_fixed__CT_moving__0004_tcia,594.499000146985,0.36670657992362976,0004_tcia,l2r_mrct,mr_target,1.0
mr,0.0031124538845486113,6.960124732895046,0.5303651351609796,12.004321098327637,22.255120832779035,B01_ants_syn_mi,ct,4,4,26.541275215148925,MR_fixed__CT_moving__0006_tcia,798.0277106948197,0.46410319209098816,0006_tcia,l2r_mrct,mr_target,0.9981082492404514
mr,0.0,2.3082080605987367,0.8782128895731984,13.207840919494629,10.031592911888515,B01_ants_syn_mi,ct,4,4,31.735517501831048,MR_fixed__CT_moving__0008_tcia,386.44705539755523,0.5631980895996094,0008_tcia,l2r_mrct,mr_target,1.0
mr,7.544623480902778e-05,4.101968820908073,0.7412893267407396,17.988670349121094,12.354725080608947,B01_ants_syn_mi,ct,4,4,42.101472473144526,MR_fixed__CT_moving__0010_tcia,360.59740319103,0.5508695244789124,0010_tcia,l2r_mrct,mr_target,0.999957784016927
mr,0.0,9.98050719436867,0.429993056955882,14.63271713256836,28.17044416749239,B01_ants_syn_mi,ct,4,4,40.512235832214344,MR_fixed__CT_moving__0012_tcia,527.2913311235607,0.4908369779586792,0012_tcia,l2r_mrct,mr_target,1.0
mr,0.0,23.346231445401184,0.21965009314234146,12.216399192810059,66.18603830183474,B01_ants_syn_mi,ct,4,4,31.407140827178956,MR_fixed__CT_moving__0014_tcia,122.71682412922382,0.5356630682945251,0014_tcia,l2r_mrct,mr_target,1.0
mr,0.0,3.102066126639701,0.8236684671683492,9.09576416015625,15.865317264856381,B01_ants_syn_mi,ct,4,4,23.860836219787597,MR_fixed__CT_moving__0016_tcia,332.81320491433144,0.34601080417633057,0016_tcia,l2r_mrct,mr_target,1.0
