fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.029384189181857638,7.643098479403213,0.5780037138965162,10.963471412658691,21.621295195613953,B06_synmse,ct,3,4,30.621270465850827,MR_fixed__CT_moving__0002_tcia,13.488841444253922,0.6648566722869873,0002_tcia,l2r_mrct,mr_target,0.9990230984157986
mr,0.025871107313368055,37.0356655111842,0.11317557615420087,11.692545890808105,74.13590170554419,B06_synmse,ct,3,4,32.69999313354492,MR_fixed__CT_moving__0004_tcia,11.737699940800667,0.6656209826469421,0004_tcia,l2r_mrct,mr_target,0.9964530097113715
mr,0.017368062337239584,8.872212681874833,0.4577159649545673,11.795990943908691,26.18734522726961,B06_synmse,ct,4,4,25.573742675781247,MR_fixed__CT_moving__0006_tcia,12.18561895005405,0.6314870119094849,0006_tcia,l2r_mrct,mr_target,0.9971555921766493
mr,0.0008129543728298611,7.3372281396551315,0.6037684049283946,14.105905532836914,20.193310862608477,B06_synmse,ct,4,4,33.23365802764893,MR_fixed__CT_moving__0008_tcia,12.157443246804178,0.482814222574234,0008_tcia,l2r_mrct,mr_target,0.975333489312066
mr,0.02451171875,11.735090348067793,0.46575057603492953,10.68455696105957,37.666520067348735,B06_synmse,ct,4,4,25.520862770080566,MR_fixed__CT_moving__0010_tcia,11.709854415617883,0.7293263673782349,0010_tcia,l2r_mrct,mr_target,0.9936260647243924
mr,0.004416571723090278,15.626732039563468,0.28576208271476006,8.992666244506836,40.94253526724286,B06_synmse,ct,4,4,20.39371919631958,MR_fixed__CT_moving__0012_tcia,12.793938630260527,0.4877159893512726,0012_tcia,l2r_mrct,mr_target,0.9571261935763888
mr,0.010264248318142362,26.45208555735983,0.20074477221910833,11.870662689208984,68.00637815679784,B06_synmse,ct,4,4,29.29350032806396,MR_fixed__CT_moving__0014_tcia,12.72012292407453,0.5086929202079773,0014_tcia,l2r_mrct,mr_target,0.99647216796875
mr,0.0033479478624131942,9.602472301702225,0.470767475759412,13.399828910827637,25.143031815306124,B06_synmse,ct,4,4,31.694115734100336,MR_fixed__CT_moving__0016_tcia,11.284571298863739,0.6482736468315125,0016_tcia,l2r_mrct,mr_target,0.9822146945529514
