fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,subject_id,task_domain,task_group,valid_sampling_fraction
mr,0.04199557834201389,7.339220137313674,0.5712038699542524,11.124735832214355,19.71171553290034,B11_transmorph_mind,ct,3,4,29.737611770629883,MR_fixed__CT_moving__0002_tcia,14.335800206288695,0.7628888487815857,0002_tcia,l2r_mrct,mr_target,0.9721791585286458
mr,0.03957739935980903,38.05192113442941,0.1115537271453775,10.920279502868652,73.77029284672243,B11_transmorph_mind,ct,3,4,29.920559024810785,MR_fixed__CT_moving__0004_tcia,14.369432771578431,0.747269332408905,0004_tcia,l2r_mrct,mr_target,0.9610522800021701
mr,0.07342071533203125,10.158242527544541,0.3909836851308447,12.537052154541016,28.64540410372871,B11_transmorph_mind,ct,4,4,25.210701084136964,MR_fixed__CT_moving__0006_tcia,14.129756189882755,0.9760816097259521,0006_tcia,l2r_mrct,mr_target,0.9975465562608506
mr,0.039612833658854166,8.879637090547632,0.5216938963978057,12.743542671203613,25.111487385751197,B11_transmorph_mind,ct,4,4,27.26662254333496,MR_fixed__CT_moving__0008_tcia,12.25734356418252,0.793501615524292,0008_tcia,l2r_mrct,mr_target,0.9594721476236979
mr,0.023599921332465277,9.043232189239227,0.5323652201432006,12.7094087600708,28.93338581180143,B11_transmorph_mind,ct,4,4,26.220764446258542,MR_fixed__CT_moving__0010_tcia,11.248173017054796,0.7665866017341614,0010_tcia,l2r_mrct,mr_target,0.9206059773763021
mr,0.016782294379340278,14.24141019747141,0.28705229578341707,12.605061531066895,37.0078444665493,B11_transmorph_mind,ct,4,4,29.683261871337884,MR_fixed__CT_moving__0012_tcia,9.612027553841472,0.7402297258377075,0012_tcia,l2r_mrct,mr_target,0.8677668253580729
mr,0.0546600341796875,21.46211385216631,0.24330022193411077,12.314777374267578,62.934552345702386,B11_transmorph_mind,ct,4,4,26.634855651855467,MR_fixed__CT_moving__0014_tcia,9.826534541323781,0.8947004675865173,0014_tcia,l2r_mrct,mr_target,0.9501439412434896
mr,0.03074578179253472,7.645629210407125,0.5232699532324179,12.665693283081055,20.681854353958126,B11_transmorph_mind,ct,4,4,24.733715820312497,MR_fixed__CT_moving__0016_tcia,10.104294169694185,0.7725513577461243,0016_tcia,l2r_mrct,mr_target,0.9595659044053819
